Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Crash_Street,Crash_Street_Intersecting,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition
300830,Medical treatment,2016,November,Friday,13,Angle,Multi-Vehicle,153.024021,-27.31082,Bracken Ridge Rd,Hoyland St,Bracken Ridge,Brisbane City,4017,Sandgate,North Brisbane,Brisbane,SEQ North,Metropolitan,Bracken Ridge,Sandgate,Brisbane - North,Major cities,Sandgate,Petrie,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
300831,Hospitalisation,2016,November,Friday,15,Angle,Multi-Vehicle,152.979978,-27.524761,Dan St,Long St E,Graceville,Brisbane City,4075,Sherwood,South Brisbane,Brisbane,SEQ South,Metropolitan,Chelmer - Graceville,Sherwood - Indooroopilly,Brisbane - West,Major cities,Indooroopilly,Moreton,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
300832,Medical treatment,2016,November,Friday,7,Angle,Multi-Vehicle,153.030742,-27.485791,Merton Rd,Stanley St,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
300833,Medical treatment,2016,November,Friday,7,Rear-end,Multi-Vehicle,153.0221979,-27.38394871,Hamilton Rd,Webster Rd,Chermside,Brisbane City,4032,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major cities,Stafford,Lilley,Locally-controlled,Intersection - Roundabout,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight
300842,Hospitalisation,2016,November,Friday,8,Overturned,Single Vehicle,153.1421767,-27.5448091,Mt Gravatt - Capalaba Rd,,Burbank,Brisbane City,4156,Capalaba,South Brisbane,Brisbane,SEQ South,Metropolitan,Rochedale - Burbank,Mt Gravatt,Brisbane - South,Major cities,Mansfield,Bonner,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight
300845,Hospitalisation,2016,November,Friday,22,Hit object,Single Vehicle,152.98832,-27.435761,Western Arterial Rd,,Ashgrove,Brisbane City,4060,The Gap,North Brisbane,Brisbane,SEQ North,Metropolitan,Ashgrove,Brisbane Inner - West,Brisbane Inner City,Major cities,Ashgrove,Brisbane,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Raining,Darkness - Not lighted
300865,Minor injury,2016,November,Saturday,20,Angle,Multi-Vehicle,153.014593,-27.459815,Musgrave Rd,Petrie Tce,Petrie Terrace,Brisbane City,4000,Brisbane City,North Brisbane,Brisbane,SEQ North,Metropolitan,Brisbane City,Brisbane Inner,Brisbane Inner City,Major cities,Mount Coot-tha,Brisbane,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Darkness - Lighted
300866,Hospitalisation,2016,November,Saturday,10,Angle,Multi-Vehicle,152.97571,-27.597609,Corsair Ave,Inala Ave,Inala,Brisbane City,4077,Inala,South Brisbane,Brisbane,SEQ South,Metropolitan,Inala - Richlands,Forest Lake - Oxley,Ipswich,Major cities,Inala,Oxley,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
300867,Medical treatment,2016,November,Saturday,10,Angle,Multi-Vehicle,152.975124,-27.628841,Forest Lake Blvd,Kensington Ave,Forest Lake,Brisbane City,4078,Inala,South Brisbane,Brisbane,SEQ South,Metropolitan,Forest Lake - Doolandella,Forest Lake - Oxley,Ipswich,Major cities,Algester,Oxley,Locally-controlled,Intersection - Roundabout,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight
300868,Minor injury,2016,November,Saturday,4,Overturned,Single Vehicle,152.880293,-27.486051,Upper Brookfield Rd,,Upper Brookfield,Brisbane City,4069,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Brookfield - Kenmore Hills,Kenmore - Brookfield - Moggill,Brisbane - West,Major cities,Moggill,Ryan,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Dawn/Dusk
